date,synthetic-demo-account-0042,synthetic-demo-account-0042__upper_bound,known_total_usd,upper_bound_total_usd,combined_usd_value,over_10000,possibly_over_10000
2025-01-01,2596.975848,2596.975848,2596.975848,2596.975848,2596.975848,False,False
2025-01-02,2596.975848,2596.975848,2596.975848,2596.975848,2596.975848,False,False
2025-01-03,2596.975848,2596.975848,2596.975848,2596.975848,2596.975848,False,False
2025-01-04,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-05,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-06,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-07,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-08,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-09,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-10,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-11,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-12,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-13,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-14,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-15,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-16,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-17,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-18,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-19,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-20,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-21,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-22,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-23,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-24,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-25,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-26,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-27,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-28,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-29,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-30,2617.259554,2617.259554,2617.259554,2617.259554,2617.259554,False,False
2025-01-31,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-01,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-02,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-03,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-04,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-05,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-06,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-07,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-08,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-09,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-10,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-11,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-12,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-13,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-14,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-15,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-16,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-17,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-18,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-19,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-20,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-21,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-22,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-23,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-24,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-25,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-26,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-27,2610.225725,2610.225725,2610.225725,2610.225725,2610.225725,False,False
2025-02-28,2616.850663,2616.850663,2616.850663,2616.850663,2616.850663,False,False
2025-03-01,2616.850663,2616.850663,2616.850663,2616.850663,2616.850663,False,False
2025-03-02,2616.850663,2616.850663,2616.850663,2616.850663,2616.850663,False,False
2025-03-03,2616.850663,2616.850663,2616.850663,2616.850663,2616.850663,False,False
2025-03-04,2616.850663,2616.850663,2616.850663,2616.850663,2616.850663,False,False
